"sourceId","market","propertyName","area","sourceStatus","confidence","outreachPriority","priorityTier","shortlistRank","otaPresence","suggestedAcquisitionPath","acquisitionPath","bookingComUrl","agodaUrl","officialSiteUrl","directContact","nextOutreachAction","priorityRationale","sharetribeListingCreated","collections","stayType","fitNotes"
"HAK-SRC-001","hakone","Yaeikan Ryokan","Hakone-Yumoto","sourced","medium","medium","","","low-ota-direct-first","concierge-first","","","","","","Confirm a safe direct booking/contact path, then test concierge-first before asking the provider to onboard.","","false","onsen-retreats","ryokan","Traditional Hakone-Yumoto ryokan target."
"HAK-SRC-002","hakone","Fukuzumiro Ryokan","Hakone-Yumoto","sourced","medium","medium","","","low-ota-direct-first","concierge-first","","","","","","Confirm a safe direct booking/contact path, then test concierge-first before asking the provider to onboard.","","false","onsen-retreats","ryokan","Brand-fit Hakone ryokan target."
"HAK-SRC-003","hakone","Kijitei Hoeiso / Hoeiso","Hakone-Yumoto area","inactive-benchmark","not-active","hold","","","","hold","","","","","contactPage: Official site lists email contact","Hold as benchmark unless active operations resume.","","false","onsen-retreats","ryokan","Useful brand-fit benchmark, not active sourced supply right now."
"HAK-SRC-004","hakone","Masutomi Ryokan","Hakone","pending-verification","pending","hold","","","","verification-first","","","","","","Confirm official site, direct contact, and active booking path before outreach.","","false","onsen-retreats","ryokan","Potential Hakone ryokan target."
"HAK-SRC-005","hakone","Hakone Airu","Hakone-Yumoto","sourced","high","high","tier-1-first-wave","4","high-probability-booking-agoda","ota-direct-outreach","","","","","phone: 0460-85-3300 | contactPage: Official site contact page","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","Verified official site and phone, modern ryokan hybrid, strong international-guest fit.","false","onsen-retreats","ryokan","Strong candidate for modern ryokan hybrid and easier international guest fit."
"HAK-SRC-006","hakone","Senkyoro","Sengokuhara, Hakone","sourced","high","high","tier-1-first-wave","6","high-probability-booking-agoda","ota-direct-outreach","","","","","phone: +81-460-84-8521 | contactPage: Official English site booking/contact pages | address: 1284 Sengokuhara","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","Verified official English site, direct contact path, and strong mid/upscale onsen-retreat fit.","false","onsen-retreats","ryokan","Strong mid/upscale fit with natural hot springs, traditional design, dining, and access from Shinjuku/Hakone-Yumoto."
"HAK-SRC-007","hakone","Ichinoyu Honkan","Tonosawa, Hakone","sourced","high","high","tier-1-first-wave","3","high-probability-booking-agoda","ota-direct-outreach","","","","","contactPage: Ichinoyu official group site","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","Group operator with multiple Hakone facilities; one relationship could unlock meaningful supply.","false","onsen-retreats","ryokan","Long-established inn along the Hayakawa valley with private open-air-bath rooms. Strategic operator because one relationship could unlock multiple facilities."
"HAK-SRC-008","hakone","Gora Hanaougi","Gora, Hakone","sourced","high","medium","","","mixed-partial-ota","needs-ota-check","","","","","phone: Official reservation-center phone numbers listed on site | contactPage: Official site","Check Booking.com, Agoda, Rakuten, and Jalan. If major OTA presence is confirmed, contact directly; otherwise evaluate concierge-first.","","false","onsen-retreats","ryokan","High-confidence luxury Japanese-style lodging with open-air baths. Aspirational and likely harder to win early."
"HAK-SRC-009","hakone","Mount View Hakone","Sengokuhara, Hakone","pending-verification","pending","hold","","","","verification-first","","","","","","Confirm official site, direct contact, and active booking path before outreach.","","false","onsen-retreats","ryokan","Potential Hakone benchmark/target pending official verification."
"HAK-SRC-010","hakone","Kinnotake Tonosawa","Hakone","pending-verification","pending","hold","","","","verification-first","","","","","","Confirm official site, direct contact, and active booking path before outreach.","","false","onsen-retreats","ryokan","Useful benchmark target pending official verification."
